,cond,grid,tf,participant,round,b.target,b2.target,b2j.target,b2j.com
17,do,NSW,W,1xKGqkve,0.0,0.9811439311822179,0.9999965283223662,0.9828955901652737,0.09291340445213721
18,do,NWS,S,1xKGqkve,6.0,0.001255377394950033,4.0890632752986284e-08,0.0006319940035766584,0.5033119134922606
19,do,NWS,W,1xKGqkve,5.0,0.9998603577701431,0.9999999996589629,0.999930625890073,0.5032023021438351
20,do,SNS,S,1xKGqkve,8.0,0.250014565550094,0.004257554264487741,0.1443916663502291,0.42978590375643577
21,do,SNS,W,1xKGqkve,10.0,0.7499854344499061,0.9957424457355122,0.8556083336497708,0.42978590375643577
22,do,SNW,S,1xKGqkve,9.0,0.750067514120083,0.9987378327598493,0.8567936979285822,0.4291874655258187
23,do,SNW,W,1xKGqkve,13.0,0.5114796667182726,0.9044293167923882,0.5118022850394004,0.0020290961175176503
24,do,SWN,S,1xKGqkve,3.0,0.998895750451438,0.9999880747949197,0.9999590709911875,0.9720992893092327
25,do,SWN,W,1xKGqkve,11.0,0.405591369558656,0.006798727571821014,0.4055252176182244,0.0001778808038971283
26,do,WNS,S,1xKGqkve,15.0,0.7500674294117508,0.0202414010804063,0.7285776003692459,0.029445139263720808
27,do,WNS,W,1xKGqkve,7.0,0.7499856034214666,0.9999411192602877,0.7607861759345155,0.04320997869082209
28,do,WNW,S,1xKGqkve,2.0,0.25001439631399025,0.0002645589574637821,0.19894349370032066,0.20448823172110459
29,do,WNW,W,1xKGqkve,4.0,0.24993257100367058,0.9409744741412328,0.39515803929578386,0.21015435913906355
30,do,WSN,S,1xKGqkve,14.0,0.7506652733690621,0.9602657456925998,0.7525720304993914,0.009097103213517805
31,do,WSN,W,1xKGqkve,1.0,0.24933472663093786,0.03973425430740009,0.24742796950060855,0.009097103213517805
32,do,NSW,S,4CS1cho9,3.0,0.9973968894693177,0.9999999510110106,0.9990819588755679,0.6473413629530581
33,do,NSW,W,4CS1cho9,15.0,0.9811439311822179,0.9999965283223662,0.9828955901652737,0.09291340445213721
34,do,NWS,S,4CS1cho9,9.0,0.14676992388913637,0.0023067834884916384,0.14674947581613346,0.0001417138650419157
35,do,NWS,W,4CS1cho9,10.0,0.9998603577701431,0.9999999996589629,0.999930625890073,0.5032023021438351
36,do,SNS,S,4CS1cho9,7.0,0.250014565550094,0.004257554264487741,0.1443916663502291,0.42978590375643577
37,do,SNS,W,4CS1cho9,5.0,0.7499854344499061,0.9957424457355122,0.8556083336497708,0.42978590375643577
38,do,SNW,S,4CS1cho9,6.0,0.750067514120083,0.9987378327598493,0.8567936979285822,0.4291874655258187
39,do,SNW,W,4CS1cho9,2.0,0.7499855186946263,0.4666049618483443,0.7482684271329738,0.006059313245629324
40,do,SWN,S,4CS1cho9,12.0,0.7479385759006852,0.8592526471742323,0.74898851363123,0.009432210308474541
41,do,SWN,W,4CS1cho9,4.0,0.2520614240993147,0.14074735282576764,0.2510114863687702,0.009432210308474541
