,teacher_inst,teacher_id,learner_inst,workerid,rf,color,safe_dangerous,confidence,true_value,correct,correct_confidence,incorrect_confidence,n_safe_colors,safe,match_inst,b_orange_cor,b_purple_cor,b_blue_cor,b2_orange_cor,b2_purple_cor,b2_blue_cor,b2j_orange_cor,b2j_purple_cor,b2j_blue_cor,obs_type_pred,b_pred,b2_pred,b2j_pred
16,showing,s_31,showing,L_397,xoo,blue,safe,99,safe,True,99.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
17,showing,s_45,doing,L_401,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
18,showing,s_25,showing,L_411,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
19,showing,s_53,showing,L_413,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
20,showing,s_31,doing,L_415,xoo,blue,safe,86,safe,True,86.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
21,showing,s_35,doing,L_419,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
22,showing,s_53,doing,L_426,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
23,showing,s_20,doing,L_429,xoo,blue,safe,0,safe,True,0.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
24,showing,s_12,doing,L_431,xoo,blue,safe,97,safe,True,97.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
25,showing,s_23,showing,L_432,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
26,showing,s_4,doing,L_435,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
