,cond,mdp_code,participant,uncertain_prop,unknown_color_ent,dem_len,avg_revisit
60,do,oxo,S11,0.6666666666666666,-0.0,9.0,0.0
61,do,oxo,S14,0.6666666666666666,0.9182958340544896,9.0,0.0
62,do,oxo,S15,0.4444444444444444,-0.0,9.0,0.0
63,do,oxo,S22,0.6666666666666666,-0.0,9.0,0.0
64,do,oxo,S27,0.6666666666666666,0.9182958340544896,9.0,0.0
65,do,oxo,S29,0.4444444444444444,-0.0,9.0,0.0
66,do,oxo,S3,0.4444444444444444,-0.0,9.0,0.0
67,do,oxo,S30,0.6666666666666666,0.9182958340544896,9.0,0.0
68,do,oxo,S32,0.4444444444444444,-0.0,9.0,0.0
69,do,oxo,S33,0.6666666666666666,-0.0,9.0,0.0
70,do,oxo,S34,0.6666666666666666,-0.0,9.0,0.0
71,do,oxo,S36,0.6666666666666666,0.9182958340544896,9.0,0.0
72,do,oxo,S37,0.6666666666666666,-0.0,9.0,0.0
73,do,oxo,S38,0.8,1.5,5.0,0.0
74,do,oxo,S40,0.4444444444444444,-0.0,9.0,0.0
75,do,oxo,S41,0.6666666666666666,-0.0,9.0,0.0
76,do,oxo,S42,0.6666666666666666,0.9182958340544896,9.0,0.0
77,do,oxo,S44,0.4444444444444444,-0.0,9.0,0.0
78,do,oxo,S47,0.4444444444444444,-0.0,9.0,0.0
79,do,oxo,S48,0.4444444444444444,-0.0,9.0,0.0
80,do,oxo,S5,0.8888888888888888,0.8112781244591328,9.0,0.0
81,do,oxo,S52,0.6666666666666666,-0.0,9.0,0.0
82,do,oxo,S54,0.6666666666666666,-0.0,9.0,0.0
83,do,oxo,S56,0.6666666666666666,-0.0,9.0,0.0
84,do,oxo,S57,0.4444444444444444,-0.0,9.0,0.0
85,do,oxo,S8,0.4444444444444444,-0.0,9.0,0.0
86,do,oxo,S9,0.4444444444444444,-0.0,9.0,0.0
87,do,oxx,S1,0.4444444444444444,-0.0,9.0,0.0
88,do,oxx,S10,0.6666666666666666,-0.0,9.0,0.0
89,do,oxx,S11,0.6666666666666666,-0.0,9.0,0.0
90,do,oxx,S14,0.6666666666666666,-0.0,9.0,0.0
91,do,oxx,S15,0.4444444444444444,-0.0,9.0,0.0
92,do,oxx,S22,0.6666666666666666,-0.0,9.0,0.0
93,do,oxx,S27,0.6666666666666666,-0.0,9.0,0.0
94,do,oxx,S29,0.4444444444444444,-0.0,9.0,0.0
95,do,oxx,S3,0.4444444444444444,-0.0,9.0,0.0
96,do,oxx,S30,0.6666666666666666,-0.0,9.0,0.0
97,do,oxx,S32,0.4444444444444444,-0.0,9.0,0.0
98,do,oxx,S33,0.6666666666666666,-0.0,9.0,0.0
99,do,oxx,S34,0.6666666666666666,-0.0,9.0,0.0
100,do,oxx,S36,0.6666666666666666,-0.0,9.0,0.0
101,do,oxx,S37,0.6666666666666666,-0.0,9.0,0.0
102,do,oxx,S38,0.8,1.5,5.0,0.0
103,do,oxx,S40,0.4444444444444444,-0.0,9.0,0.0
104,do,oxx,S41,0.4444444444444444,-0.0,9.0,0.0
105,do,oxx,S42,0.7777777777777778,0.5916727785823275,9.0,0.0
106,do,oxx,S44,0.4444444444444444,-0.0,9.0,0.0
107,do,oxx,S47,0.4444444444444444,-0.0,9.0,0.0
108,do,oxx,S48,0.4444444444444444,-0.0,9.0,0.0
109,do,oxx,S5,0.6666666666666666,-0.0,9.0,0.0
110,do,oxx,S52,0.4444444444444444,-0.0,9.0,0.0
111,do,oxx,S54,0.4444444444444444,-0.0,9.0,0.0
112,do,oxx,S56,0.4444444444444444,-0.0,9.0,0.0
113,do,oxx,S57,0.4444444444444444,-0.0,9.0,0.0
114,do,oxx,S8,0.4444444444444444,-0.0,9.0,0.0
115,do,oxx,S9,0.4444444444444444,-0.0,9.0,0.0
116,do,xoo,S1,0.4444444444444444,-0.0,9.0,0.0
