,cond,mdp_code,participant,final_btarg,final_b2targ,final_b2jtarg,b2j_com
130,do,xoo,S37,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
131,do,xoo,S38,2.7876502655571304e-10,7.559730856968303e-13,1.8643608932271455e-10,0.33210766369144984
132,do,xoo,S40,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
133,do,xoo,S41,0.18037985820401362,2.4849754598665206e-07,0.10262955042310558,0.4310371216981313
134,do,xoo,S42,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
135,do,xoo,S44,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
136,do,xoo,S47,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
137,do,xoo,S48,0.18037985820401362,2.4849754598665206e-07,0.10262955042310558,0.4310371216981313
138,do,xoo,S5,0.18037985820401362,2.4849754598665206e-07,0.10262955042310558,0.4310371216981313
139,do,xoo,S52,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
140,do,xoo,S54,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
141,do,xoo,S56,0.18038000994518433,2.4847768789634253e-07,0.10262606504403028,0.43105690095069343
142,do,xoo,S57,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
143,do,xoo,S8,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
144,do,xoo,S9,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
145,do,xox,S1,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
146,do,xox,S10,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
147,do,xox,S11,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
148,do,xox,S14,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
149,do,xox,S15,0.6327487058259061,0.9999950737531019,0.7512702864921232,0.3227304366144558
150,do,xox,S22,0.6327487058259061,0.9999950737531019,0.7512702864921232,0.3227304366144558
151,do,xox,S27,0.12447608509918169,0.9813676644515509,0.13211530752972617,0.008915039679019954
152,do,xox,S29,1.5086904939080162e-05,0.0011239654952291305,0.0031795129897459204,0.7342350049002382
153,do,xox,S3,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
154,do,xox,S30,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
155,do,xox,S32,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
156,do,xox,S33,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
157,do,xox,S34,0.6327487058259061,0.9999950737531019,0.7512702864921232,0.3227304366144558
158,do,xox,S36,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
159,do,xox,S37,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
160,do,xox,S38,1.6559484557561372e-07,3.912199286259104e-11,1.0638374308348103e-07,0.35765059166037677
161,do,xox,S40,1.5263861014437852e-09,1.8360330168805713e-09,1.582833558493494e-09,0.18229620330654323
162,do,xox,S41,0.6327487058259061,0.9999950737531019,0.7512702864921232,0.3227304366144558
163,do,xox,S42,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
164,do,xox,S44,0.12447608509918169,0.9813676644515509,0.13211530752972617,0.008915039679019954
165,do,xox,S47,0.3338558843679307,0.9999571501611022,0.347849211645146,0.021007807665029053
