participant,mdp_code,cond,belief-reward,unknown_color_ent_exp,avg_revisit_exp,uncertain_prop_exp,dem_len_exp,uncertain_prop_sim,unknown_color_ent_sim,dem_len_sim,avg_revisit_sim
S11,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S14,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S15,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S22,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S27,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S29,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S3,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S30,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S32,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S33,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S34,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S36,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S37,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S38,oxx,do,0,1.5,0.0,0.8,5.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S40,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S41,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S42,oxx,do,0,0.5916727785823275,0.0,0.7777777777777778,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S44,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S47,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S48,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S5,oxx,do,0,-0.0,0.0,0.6666666666666666,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S52,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S54,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S56,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S57,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S8,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S9,oxx,do,0,-0.0,0.0,0.4444444444444444,9.0,0.49296984419089923,0.04363542469650849,11.546,0.03427713952713955
S1,xoo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5132132181543981,0.6932013218498823,11.352,0.027113697413697447
S10,xoo,do,0,1.5,0.0,0.8,5.0,0.5132132181543981,0.6932013218498823,11.352,0.027113697413697447
S11,xoo,do,0,-0.0,0.0,0.6666666666666666,9.0,0.5132132181543981,0.6932013218498823,11.352,0.027113697413697447
S14,xoo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5132132181543981,0.6932013218498823,11.352,0.027113697413697447
S15,xoo,do,0,-0.0,0.0,0.4444444444444444,9.0,0.5132132181543981,0.6932013218498823,11.352,0.027113697413697447
