,cond,participant,mdp_code,obs_model-color,belief,obs_model
59,do,S10,oxo,b_orange_cor,0.9998325696831232,b
60,do,S11,oxo,b_orange_cor,0.12231251575876612,b
61,do,S14,oxo,b_orange_cor,0.997431945987932,b
62,do,S15,oxo,b_orange_cor,0.1221442392613587,b
63,do,S22,oxo,b_orange_cor,0.12231251575876612,b
64,do,S27,oxo,b_orange_cor,0.997431945987932,b
65,do,S29,oxo,b_orange_cor,0.9976887080533692,b
66,do,S3,oxo,b_orange_cor,0.1221442392613587,b
67,do,S30,oxo,b_orange_cor,0.997431945987932,b
68,do,S32,oxo,b_orange_cor,0.1221442392613587,b
69,do,S33,oxo,b_orange_cor,0.9998325696831232,b
70,do,S34,oxo,b_orange_cor,0.12231251575876612,b
71,do,S36,oxo,b_orange_cor,0.997431945987932,b
72,do,S37,oxo,b_orange_cor,0.9998325696831232,b
73,do,S38,oxo,b_orange_cor,0.5848988815142526,b
74,do,S40,oxo,b_orange_cor,0.1221442392613587,b
75,do,S41,oxo,b_orange_cor,0.12231251575876612,b
76,do,S42,oxo,b_orange_cor,0.997431945987932,b
77,do,S44,oxo,b_orange_cor,0.1221442392613587,b
78,do,S47,oxo,b_orange_cor,0.1221442392613587,b
79,do,S48,oxo,b_orange_cor,0.9976887080533692,b
80,do,S5,oxo,b_orange_cor,0.9987147003062203,b
81,do,S52,oxo,b_orange_cor,0.9998325696831232,b
82,do,S54,oxo,b_orange_cor,0.12231251575876612,b
83,do,S56,oxo,b_orange_cor,0.12231251575876612,b
84,do,S57,oxo,b_orange_cor,0.1221442392613587,b
85,do,S8,oxo,b_orange_cor,0.9976887080533692,b
86,do,S9,oxo,b_orange_cor,0.9976887080533692,b
87,do,S1,oxx,b_orange_cor,0.9976887080533692,b
88,do,S10,oxx,b_orange_cor,0.9998325696831232,b
89,do,S11,oxx,b_orange_cor,0.9998325696831232,b
90,do,S14,oxx,b_orange_cor,0.9998325696831232,b
91,do,S15,oxx,b_orange_cor,0.9976887080533692,b
92,do,S22,oxx,b_orange_cor,0.9998325696831232,b
93,do,S27,oxx,b_orange_cor,0.9998325696831232,b
94,do,S29,oxx,b_orange_cor,0.9976887080533692,b
95,do,S3,oxx,b_orange_cor,0.9976887080533692,b
96,do,S30,oxx,b_orange_cor,0.9998325696831232,b
97,do,S32,oxx,b_orange_cor,0.9976887080533692,b
98,do,S33,oxx,b_orange_cor,0.9998325696831232,b
99,do,S34,oxx,b_orange_cor,0.9998325696831232,b
100,do,S36,oxx,b_orange_cor,0.9998325696831232,b
101,do,S37,oxx,b_orange_cor,0.9998325696831232,b
102,do,S38,oxx,b_orange_cor,0.5848988815142526,b
103,do,S40,oxx,b_orange_cor,0.1221442392613587,b
104,do,S41,oxx,b_orange_cor,0.9976887080533692,b
105,do,S42,oxx,b_orange_cor,0.9998123613978832,b
106,do,S44,oxx,b_orange_cor,0.9976887080533692,b
107,do,S47,oxx,b_orange_cor,0.9976887080533692,b
108,do,S48,oxx,b_orange_cor,0.9976887080533692,b
109,do,S5,oxx,b_orange_cor,0.9998325696831232,b
110,do,S52,oxx,b_orange_cor,0.9976887080533692,b
111,do,S54,oxx,b_orange_cor,0.9976887080533692,b
112,do,S56,oxx,b_orange_cor,0.9976887080533692,b
113,do,S57,oxx,b_orange_cor,0.9976887080533692,b
114,do,S8,oxx,b_orange_cor,0.9976887080533692,b
115,do,S9,oxx,b_orange_cor,0.9976887080533692,b
116,do,S1,xoo,b_orange_cor,0.8778557607386412,b
117,do,S10,xoo,b_orange_cor,0.4151011184857474,b
118,do,S11,xoo,b_orange_cor,0.8776874842412339,b
